timestamp,distance,temperature,brightness
377167,4095,warm,73
377749,4095,warm,73
378321,4095,warm,73
378906,48,cool,227
379650,50,cool,227
380236,4095,warm,73
380843,4095,warm,73
381496,4095,warm,73
382109,4095,warm,73
382683,50,cool,227
383256,4095,warm,73
383839,4095,warm,73
384415,4095,warm,73
385181,4095,warm,73
385753,4095,warm,73
386326,4095,warm,73
386899,4095,warm,73
387642,4095,warm,73
388216,4095,warm,73
388798,4095,warm,73
389371,4095,warm,73
390097,4095,warm,73
390720,4095,warm,73
391302,4095,warm,73
391937,4095,warm,73
392532,4095,warm,73
393164,4095,warm,73
393786,4095,warm,73
394398,4095,warm,73
395010,4095,warm,73
395582,4095,warm,73
396148,4095,warm,73
396860,4095,warm,73
397472,4095,warm,73
398044,4095,warm,73
398617,47,cool,227
399190,59,cool,227
399925,4095,warm,73
400540,4095,warm,73
401119,4095,warm,73
401781,4095,warm,73
402353,4095,warm,73
402998,4095,warm,73
403614,4095,warm,73
404187,4095,warm,73
404850,4095,warm,73
405422,4095,warm,73
405994,4095,warm,73
406687,4095,warm,73
407304,4095,warm,73
407981,4095,warm,73
408735,4095,warm,73
409347,4095,warm,73
409919,4095,warm,73
410491,4095,warm,73
411193,4095,warm,73
411806,4095,warm,73
412418,4095,warm,73
413040,4095,warm,73
413643,4095,warm,73
414260,4095,warm,73
415075,4095,warm,73
